url,score,totalLinks,workingLinks,brokenLinks,brokenWhatsapp,brokenPhones,brokenEmails,type
"https://bfssalonandspa.com",80,5,4,1,"","91209331010720","",broken
"https://www.zenithinterior.com",75,6,5,1,"https://wa.me/+919841645985","","",broken
"https://jrkinteriors.co.in",75,14,13,1,"https://wa.me/+916383539097","","",broken
"https://www.bssridhar.com",85,15,14,1,"","","&#115;&#114;i&#100;h&#97;r&#64;bssri&#100;har&#46;&#99;om",broken
"https://www.skyfitnessindia.com",80,4,3,1,"","91988172029728","",broken
"https://www.sreechakraspa.com",80,7,6,1,"","910860667322820","",broken
"https://taisoindia.com",75,9,8,1,"https://api.whatsapp.com/send?phone=+917718845104&amp;text=Hi!","","",broken
"https://www.villamaya.in",80,5,4,1,"","914712578901","",broken
"https://www.karancarrental.com",75,7,6,1,"https://wa.me/+919517006009","","",broken
"https://www.holidayguidetours.com",80,9,8,1,"","03379636044","",broken
"https://weddingplannersinjaipur.com",75,1,0,1,"https://wa.me/+917568973020","","",broken
"https://studiovisionphotography.com",75,14,13,1,"https://wa.me/+919713303655","","",broken
"https://suranajewellers.com",80,28,27,1,"","91141401840104","",broken
"https://tyaani.com",80,54,53,1,"","919619587978220202020","",broken
"https://www.speedmotorsmumbai.in",75,7,6,1,"https://wa.me/+919324613813","","",broken
"https://seraphicdental.com",75,14,13,1,"https://wa.me/+919993384941?text=Hello","","",broken
"https://showoffsalon.in",80,2,1,1,"","09111800042","",broken
"https://rhythmplayschool.com",75,9,8,1,"https://wa.me/+919899852000","","",broken
"https://www.sanacademy.edu.in",80,13,12,1,"","04422590768","",broken
"https://wps.edu.in",80,10,9,1,"","02048555444","",broken
"https://tutionjaipur.com",75,3,2,1,"https://wa.me/+91-9509399521","","",broken
"https://www.catalyser.in",75,23,22,1,"https://api.whatsapp.com/send?phone=+919109120115&text=Hello","","",broken
"https://smiledentalclinicindore.in",80,13,12,1,"","07313534121","",broken
"https://polydental.in",80,8,7,1,"","942502055620","",broken
"https://nbpinteriors.in",75,4,3,1,"https://wa.me/+919636391707","","",broken
"https://www.zuuzuuholidays.com",75,7,6,1,"https://api.whatsapp.com/send?phone=wa.me/919952413566","","",broken
"https://coimbatoretourstravel.com",80,7,6,1,"","9109677388996","",broken
"https://www.carbooking.org",75,8,7,1,"https://api.whatsapp.com/send?phone=+919810833751&amp;text=Hello","","",broken
"https://thirdimediaproductions.com",75,2,1,1,"https://wa.me/+919995255183","","",broken
"https://ramdevinterior.in",75,9,8,1,"https://wa.me/+919662057046","","",broken
"https://krutico.com",75,6,5,1,"https://api.whatsapp.com/send?phone=9173573","","",broken
"https://mirajfamilysalon.com",85,7,6,1,"","","&#105;&#110;fo&#064;&#109;&#105;&#114;a&#106;&#102;&#097;&#109;&#105;l&#121;&#115;&#097;lo&#110;.com",broken
"https://matrixsiliconsalon.in",80,2,1,1,"","07748981234","",broken
"https://cafechaicoffee.com",75,6,5,1,"https://wa.me/+919561159994?text=Enquiry-from-Website","","",broken
"https://orchidunisexsalon.com",80,4,3,1,"","18223844233","",broken
"https://www.myrahspa.com",75,19,18,1,"https://api.whatsapp.com/send?phone=+919967797574&text=Hi","","",broken
"https://creativelooksunisexsalon.com",75,3,2,1,"https://api.whatsapp.com/send?phone=+919111138112","","",broken
"https://www.iosiswellness.com",75,4,3,1,"https://api.whatsapp.com/send?phone=+919820036730","","",broken
"https://allurethaispa.in",75,8,7,1,"https://api.whatsapp.com/send?phone=7620049769‬","","",broken
"https://www.hyderabadeventmanagement.com",75,3,2,1,"https://wa.me/+919566966198?text=Hello","","",broken
"https://starkfitnesskochi.com",80,4,3,1,"","09745011000","",broken
"https://thaperdental.com",80,15,14,1,"","911414003340","",broken
"https://mittaldentalclinic.com",80,6,5,1,"","911412811101","",broken
"https://nissanshkota.com",80,6,5,1,"","08696119111","",broken
"https://shaguntourudaipur.com",80,5,4,1,"","91","",broken
"https://larastyles.com",80,17,16,1,"","9120739702012221","",broken
"https://shreepadgroup.com",75,18,17,1,"https://api.whatsapp.com/send?phone=+91","","",broken
"https://www.treecaferestaurant.com",75,7,6,1,"https://api.whatsapp.com/send?phone=+918393895353&amp;text=Hello","","",broken
"https://mistryandshah.com",75,7,6,1,"https://wa.me/message/V6NVS24NKBMFL1","","",broken
"https://www.shreejijewell.com",100,0,0,0,"","","",zero-contact
"https://raiinbowinteriors.com",100,0,0,0,"","","",zero-contact
"https://dojo.org.in",100,0,0,0,"","","",zero-contact
"https://puneinteriordesigner.com",100,0,0,0,"","","",zero-contact
"https://www.interiogroup.com",100,0,0,0,"","","",zero-contact
"https://oceanglamoursalon.com",100,0,0,0,"","","",zero-contact
"https://www.keralatouroperators.com",100,0,0,0,"","","",zero-contact
"https://manalihoneymoonpackage.com",100,0,0,0,"","","",zero-contact
"https://charviboutique.com",100,0,0,0,"","","",zero-contact
"https://www.shridattajewel.com",100,0,0,0,"","","",zero-contact
"https://madurafin.com",100,0,0,0,"","","",zero-contact
"https://www.bennymonholidays.in",100,0,0,0,"","","",zero-contact
"https://www.carrentalagra.com",100,0,0,0,"","","",zero-contact
"https://firstinteriors.in",100,0,0,0,"","","",zero-contact
"https://pritidiamond.com",100,0,0,0,"","","",zero-contact
"https://bluequeenjewels.com",100,0,0,0,"","","",zero-contact
"https://justfoodies.in",100,0,0,0,"","","",zero-contact
"https://lucknowweddingstudio.com",100,0,0,0,"","","",zero-contact
"https://desireevent.in",100,0,0,0,"","","",zero-contact
"https://kotacoachingclass.com",100,0,0,0,"","","",zero-contact
"https://rhjewellers.in",100,0,0,0,"","","",zero-contact
"https://ajayjewellers.in",100,0,0,0,"","","",zero-contact
"https://cacpjain.com",100,0,0,0,"","","",zero-contact
"https://vrajrealty.com",100,0,0,0,"","","",zero-contact
"https://avis-fitnessstudio.com",100,0,0,0,"","","",zero-contact
"https://fitwithpratik.com",100,0,0,0,"","","",zero-contact
"https://foxxdental.co.in",0,0,0,0,"","","",unreachable
"https://kautilyadevelopers.in",0,0,0,0,"","","",unreachable
"https://www.punjabgrill.in",0,0,0,0,"","","",unreachable
"https://www.cloudtiffin.com",0,0,0,0,"","","",unreachable
"https://jainamjewels1996.com",0,0,0,0,"","","",unreachable
"https://www.carvaidya.com",0,0,0,0,"","","",unreachable
"https://rajindiatours.com",0,0,0,0,"","","",unreachable
"https://getroshniboutique.shop",0,0,0,0,"","","",unreachable
"https://mechanicbabu.in",0,0,0,0,"","","",unreachable
"https://vehiclecare.in",0,0,0,0,"","","",unreachable
